probe_id,probe_type,gold_choice_id,model_review_status,model_review_notes
travel_pd_v03_probe_0030_04,cross_habit_selection,D,accept,"Rewritten to require selecting between two retrieved memories with similar travel wording, while keeping the task scope focused on post-flight ground transfer rather than hotel selection."
travel_pd_v03_probe_0030_05,conflict_current_override,D,accept,Rewritten to make the current exception clear without relying on repeated hidden-default phrasing; distractors remain plausible memory-handling alternatives.
travel_pd_v03_probe_0031_00,direct_use,C,accept,Rewritten to require use of retrieved hotel-planning history and to reduce answerability from lexical overlap alone.
travel_pd_v03_probe_0031_01,boundary,A,accept,"Boundary case now emphasizes current scope and asks how to use the prior pattern, with similarly worded but distinct alternatives."
travel_pd_v03_probe_0031_02,exception,B,accept,Exception handling is clear: current instructions control this instance without deleting the stored preference.
travel_pd_v03_probe_0031_03,explicit_retrieval,A,accept,Rewritten as an explicit retrieval probe with parallel choice structure and no dependence on superficial phrasing beyond the relevant remembered pattern.
travel_pd_v03_probe_0031_04,cross_habit_selection,B,revise,Rewritten to reduce direct condition repetition and make the conflict require selecting the matching retrieved memory. Gold choice id B is preserved.
travel_pd_v03_probe_0031_05,conflict_current_override,C,revise,Rewritten to focus on the current exception and retained memory behavior without relying on repeated wording. Gold choice id C is preserved.
travel_pd_v03_probe_0032_00,direct_use,D,revise,Rewritten to require retrieved user history while avoiding exact repetition of the stored condition. Gold choice id D is preserved.
travel_pd_v03_probe_0032_01,boundary,A,revise,Rewritten as a boundary case where current scope determines that the remembered work-hotel default should not control. Gold choice id A is preserved.
travel_pd_v03_probe_0032_02,exception,D,revise,Rewritten to remove awkward duplicated phrasing and clarify the exception handling. Gold choice id D is preserved.
travel_pd_v03_probe_0032_03,explicit_retrieval,D,revise,Rewritten to reduce lexical overlap while preserving the explicit retrieval objective and gold choice id D.
travel_pd_v03_probe_0033_00,direct_use,B,revise,"Rewritten to use a concrete booking scenario rather than repeating the stored condition verbatim. The choices remain parallel and plausible, and choice B remains the supported default."
travel_pd_v03_probe_0033_01,boundary,D,revise,Rewritten as a boundary case where the current scope limits the remembered loyalty default. Choice D remains correct and the distractors are similar in form without relying on exact copied wording.
travel_pd_v03_probe_0033_02,exception,D,revise,Rewritten to make the current exception explicit without awkward duplicated phrasing. Choice D remains correct: current instruction controls this case but does not erase the stored default.
travel_pd_v03_probe_0033_03,explicit_retrieval,B,revise,Rewritten as an explicit memory retrieval question with less verbatim overlap. Choice B remains the supported recurring default and the other choices are plausible alternatives.
travel_pd_v03_probe_0033_04,cross_habit_selection,A,revise,"Rewritten to reduce lexical copying and emphasize cross-habit selection. Choice A remains correct because the current task matches the mobility/fatigue travel habit, not the loyalty-booking habit."
travel_pd_v03_probe_0033_05,conflict_current_override,B,revise,Rewritten as a current override/exception case with concrete wording. Choice B remains correct: obey the current constraint without deleting the prior family-travel default.
travel_pd_v03_probe_0034_00,direct_use,A,revise,Rewritten to require use of retrieved user history and to reduce answerability from repeated wording. Gold remains A; distractors are plausible policy alternatives with similar framing.
travel_pd_v03_probe_0034_01,boundary,C,revise,"Boundary case now contrasts retrieved history with current scope, so the correct answer depends on recognizing the stored pattern is out of scope. Gold remains C."
travel_pd_v03_probe_0034_02,exception,A,revise,"Exception case now requires comparing retrieved memory with the current explicit instruction. Gold remains A; alternatives cover override, no recommendation, and permanent replacement."
travel_pd_v03_probe_0034_03,explicit_retrieval,A,revise,"Explicit retrieval probe is cleaned up to remove the duplicated phrase and reduce lexical shortcuts. Gold remains A, with distractors phrased as competing remembered preferences."
travel_pd_v03_probe_0034_04,cross_habit_selection,B,revise,"Cross-habit probe now requires selecting the memory matching the current task, rather than relying on repeated condition wording. Gold remains B."
travel_pd_v03_probe_0035_00,direct_use,C,revise,Rewritten to require retrieved history and avoid direct copying of the target phrase. Gold remains C; distractors remain plausible and similarly worded.
travel_pd_v03_probe_0035_01,boundary,C,accept,"Rewritten to make the boundary hinge on the current fixed-commitment context rather than on repeated wording from the stored preference. The gold choice remains C, and the distractors are plausible with similar travel-planning wording."
travel_pd_v03_probe_0035_02,exception,C,accept,"Rewritten to remove the shortcut phrasing from the original query and make the exception depend on the user's explicit current instruction. The gold choice remains C, with plausible alternatives about conflict handling and future memory use."
travel_pd_v03_probe_0035_03,explicit_retrieval,D,accept,"Rewritten to require retrieval of the user's recurring history while reducing direct lexical overlap with the stored condition. The gold choice remains D, and the distractors are similar in form and plausibility."
